Product Name,SKU,Description,Price,Currency,Stock,Category,Image URL
Бігова доріжка NordicTrack T9.5,NORDIC-TM-T95,Професійна бігова доріжка з нахилом до 12% та iFit,42999,UAH,8,Sports & Fitness,https://images.unsplash.com/photo-1576678927484-cc907957088c
Велотренажер Schwinn IC4,SCHWINN-BIKE-IC4,Спінбайк з магнітним опором та Bluetooth,18999,UAH,12,Sports & Fitness,https://images.unsplash.com/photo-1605296867304-46d5465a13f1
Гантелі розбірні 2x20кг,DUMBBELL-ADJ-20KG,Набір розбірних гантель з хромованим грифом,3999,UAH,25,Sports & Fitness,https://images.unsplash.com/photo-1517836357463-d25dfeac3438
Штанга олімпійська 220см 150кг,BARBELL-OLY-150KG,Олімпійська штанга з дисками та замками,14999,UAH,10,Sports & Fitness,https://images.unsplash.com/photo-1534438327276-14e5300c3a48
Лавка для преса регульована,BENCH-AB-ADJ,Регульована лавка для преса з 7 рівнями нахилу,3499,UAH,20,Sports & Fitness,https://images.unsplash.com/photo-1517836357463-d25dfeac3438
Турнік настінний з брусами,PULLUP-WALL-DIPS,Багатофункціональний турнік для домашніх тренувань,2999,UAH,30,Sports & Fitness,https://images.unsplash.com/photo-1534438327276-14e5300c3a48
Килимок для йоги TPE 6мм,YOGA-MAT-TPE-6MM,Нековзний килимок для йоги з сумкою для перенесення,899,UAH,60,Sports & Fitness,https://images.unsplash.com/photo-1544367567-0f2fcb009e0b
Фітбол 65см з насосом,FITNESS-BALL-65CM,М'яч для фітнесу антивибуховий з насосом,799,UAH,45,Sports & Fitness,https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b
Еспандери набір 5шт,RESISTANCE-BANDS-5,Набір гумових еспандерів різної жорсткості,699,UAH,50,Sports & Fitness,https://images.unsplash.com/photo-1598289431512-b97b0917affc
Скакалка швидкісна з підшипниками,JUMP-ROPE-SPEED,Професійна скакалка для кросфіту зі сталевим тросом,499,UAH,70,Sports & Fitness,https://images.unsplash.com/photo-1601422407692-ec4eeec1d9b3
Боксерська груша 120см 40кг,PUNCH-BAG-120-40,Підвісна боксерська груша з ПВХ покриттям,4999,UAH,15,Sports & Fitness,https://images.unsplash.com/photo-1549719386-74dfcbf7dbed
Рукавички для боксу 12oz,BOXING-GLOVES-12OZ,Боксерські рукавиці з високоякісної шкіри,1899,UAH,35,Sports & Fitness,https://images.unsplash.com/photo-1549719386-74dfcbf7dbed
Пульсометр Polar H10,POLAR-HRM-H10,Нагрудний датчик пульсу з Bluetooth та ANT+,3999,UAH,25,Sports & Fitness,https://images.unsplash.com/photo-1576243345690-4e4b79b63288
Ролик для преса Ab Wheel Pro,AB-WHEEL-PRO,Подвійний ролик для преса з килимком для колін,899,UAH,40,Sports & Fitness,https://images.unsplash.com/photo-1517836357463-d25dfeac3438
М'яч медичний 5кг,MEDICINE-BALL-5KG,Медбол для функціональних тренувань,1299,UAH,30,Sports & Fitness,https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b
