Product Name,SKU,Description,Price,Currency,Stock,Category,Image URL
Футболка Nike Dri-FIT чоловіча,NIKE-TEE-M-DFIT-BLK,Спортивна футболка з технологією відведення вологи,1299,UAH,100,Clothing,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab
Джинси Levi's 501 Original,LEVIS-501-M-32-34,Класичні чоловічі джинси прямого крою,3499,UAH,60,Clothing,https://images.unsplash.com/photo-1542272604-787c3835535d
Худі Adidas Essentials,ADIDAS-HOOD-M-GRY,Чоловіче худі з логотипом бренду та кишенею кенгуру,2199,UAH,75,Clothing,https://images.unsplash.com/photo-1556821840-3a63f95609a7
Куртка вітрівка Columbia,COLUMBIA-WIND-M-BLU,Легка вітрівка з водовідштовхувальним покриттям,3999,UAH,40,Clothing,https://images.unsplash.com/photo-1551028719-00167b16eac5
Кросівки Nike Air Max 90,NIKE-AM90-M-WHT-42,Класичні кросівки з видимою амортизацією Air,4999,UAH,50,Footwear,https://images.unsplash.com/photo-1542291026-7eec264c27ff
Кеди Converse Chuck Taylor,CONVERSE-CT-BLK-41,Iconic кеди з високою шнурівкою,2499,UAH,80,Footwear,https://images.unsplash.com/photo-1607522370275-f14206abe5d3
Сукня Zara літня жіноча,ZARA-DRESS-W-FLR-M,Легка літня сукня з квітковим принтом,2199,UAH,45,Clothing,https://images.unsplash.com/photo-1595777457583-95e059d581b8
Блуза H&M жіноча біла,HM-BLOUSE-W-WHT-S,Елегантна біла блуза для офісу та повсякдення,1499,UAH,55,Clothing,https://images.unsplash.com/photo-1578587018452-892bacefd3f2
Джинси скінні жіночі,ZARA-JEANS-W-SKN-27,Вузькі джинси з високою талією,2699,UAH,70,Clothing,https://images.unsplash.com/photo-1541099649105-f69ad21f3246
Светр в'язаний оверсайз,MANGO-SWTR-W-OVR,Теплий в'язаний светр вільного крою,2499,UAH,35,Clothing,https://images.unsplash.com/photo-1576566588028-4147f3842f27
Пальто вовняне класичне,ZARA-COAT-W-WOOL-M,Класичне вовняне пальто прямого крою,6999,UAH,20,Clothing,https://images.unsplash.com/photo-1539533018447-63fcce2678e3
Черевики Dr.Martens 1460,DRMARTENS-1460-BLK-40,Класичні шкіряні черевики з 8 люверсами,5999,UAH,30,Footwear,https://images.unsplash.com/photo-1543163521-1bf539c55dd2
Шарф кашеміровий,BURBERRY-SCARF-CASH,М'який кашеміровий шарф преміум якості,3999,UAH,25,Accessories,https://images.unsplash.com/photo-1520903920243-00d872a2d1c9
Сумка шкіряна жіноча,MICHAEL-KORS-BAG-LEATH,Елегантна шкіряна сумка з ремінцем,7999,UAH,18,Accessories,https://images.unsplash.com/photo-1590874103328-eac38a683ce7
Рюкзак міський Herschel,HERSCHEL-BP-LITTLE-BLK,Міський рюкзак з відділенням для ноутбука 15",2999,UAH,40,Accessories,https://images.unsplash.com/photo-1553062407-98eeb64c6a62
