Product Name,SKU,Description,Price,Currency,Stock,Category,Image URL
LEGO Star Wars Millennium Falcon,LEGO-SW-75192-MF,Колекційний набір Сокіл Тисячоліття 7541 деталь,39999,UAH,8,Toys & Kids,https://images.unsplash.com/photo-1587654780291-39c9404d746b
LEGO Technic Lamborghini Sián,LEGO-TECH-42115-LAMB,Технічна модель суперкара з коробкою передач,18999,UAH,12,Toys & Kids,https://images.unsplash.com/photo-1558060370-d644479cb6f7
Hot Wheels трек Ultimate Garage,HW-TRACK-ULT-GARAGE,Багаторівнева парковка з ліфтом та горилою,4999,UAH,25,Toys & Kids,https://images.unsplash.com/photo-1558060370-d644479cb6f7
Барбі Dreamhouse ляльковий будинок,BARBIE-DREAMHOUSE-2023,Тритоповерховий будинок мрії з меблями та аксесуарами,8999,UAH,15,Toys & Kids,https://images.unsplash.com/photo-1599696848652-f0ff20e577e7
Nerf Elite 2.0 Commander RD-6,NERF-ELITE2-RD6,Бластер з барабаном на 6 патронів та 12 стрілами,1499,UAH,40,Toys & Kids,https://images.unsplash.com/photo-1605015656212-7fefde99c4e8
Nintendo Switch OLED,NINTENDO-SW-OLED-WHT,Ігрова консоль з 7-дюймовим OLED екраном,14999,UAH,20,Toys & Kids,https://images.unsplash.com/photo-1578303512597-81e6cc155b3e
Велосипед дитячий 16" Pride,PRIDE-BIKE-16-BLU,Дитячий велосипед з бічними колесами,3999,UAH,18,Toys & Kids,https://images.unsplash.com/photo-1558618666-fcd25c85cd64
Самокат трюковий Razor,RAZOR-SCOOT-BEAST,Професійний трюковий самокат для підлітків,3499,UAH,22,Toys & Kids,https://images.unsplash.com/photo-1621544402532-1f2f221e30db
Електромобіль дитячий Mercedes-Benz,KID-CAR-MERC-G63-BLK,Дитячий електромобіль на акумуляторі з пультом,12999,UAH,10,Toys & Kids,https://images.unsplash.com/photo-1581235720704-06d3acfcb36f
Конструктор Magformers 62 елементи,MAGFORMERS-62-STAND,Магнітний 3D конструктор для розвитку уяви,2999,UAH,30,Toys & Kids,https://images.unsplash.com/photo-1587654780291-39c9404d746b
Настільна гра Монополія класична,MONOPOLY-CLASSIC-UA,Економічна настільна гра українською мовою,899,UAH,50,Toys & Kids,https://images.unsplash.com/photo-1611891487974-ce49e4e06059
Пазл Ravensburger 1000 елементів,RAVENSBURGER-1000-LAND,Панорамний пазл з пейзажем високої якості,749,UAH,35,Toys & Kids,https://images.unsplash.com/photo-1611892440504-42a792e24d32
Ляльковий театр дерев'яний,PUPPET-THEATER-WOOD,Дерев'яний театр з 6 ляльками для рольових ігор,1899,UAH,20,Toys & Kids,https://images.unsplash.com/photo-1599696848652-f0ff20e577e7
Музичний килимок для танців,DANCE-MAT-MUSIC-USB,Інтерактивний танцювальний килимок з USB,1299,UAH,25,Toys & Kids,https://images.unsplash.com/photo-1587654780291-39c9404d746b
Дитячий планшет LeapPad,LEAPFROG-LEAP-PAD3,Навчальний планшет для дітей 3-9 років,3999,UAH,18,Toys & Kids,https://images.unsplash.com/photo-1587654780291-39c9404d746b
