Product Name,SKU,Description,Price,Currency,Stock,Category,Image URL
Газонокосарка Bosch Rotak 43,BOSCH-MOWER-ROT43,Електрична газонокосарка 1800W з кошиком 50л,7999,UAH,15,Outdoor & Garden,https://images.unsplash.com/photo-1558618666-fcd25c85cd64
Тример бензиновий Stihl FS 55,STIHL-TRIM-FS55,Бензиновий тример 1.0 к.с. для скошування трави,8999,UAH,12,Outdoor & Garden,https://images.unsplash.com/photo-1558618666-fcd25c85cd64
Мийка високого тиску Karcher K5,KARCHER-WASH-K5,Мийка 2100W з тиском 145 бар та шлангом 10м,15999,UAH,18,Outdoor & Garden,https://images.unsplash.com/photo-1581578731548-c64695cc6952
Садові ножиці акумуляторні Bosch,BOSCH-SHEARS-BATT,Акумуляторні садові ножиці для живоплоту,4999,UAH,20,Outdoor & Garden,https://images.unsplash.com/photo-1416879595882-3373a0480b5b
Садовий шланг розтяжний 30м,HOSE-EXPAND-30M,Розтяжний поливальний шланг з розпилювачем,1299,UAH,40,Outdoor & Garden,https://images.unsplash.com/photo-1581578731548-c64695cc6952
Система крапельного поливу,DRIP-SYSTEM-50M,Автоматична система крапельного поливу на 50м,2999,UAH,25,Outdoor & Garden,https://images.unsplash.com/photo-1581578731548-c64695cc6952
Теплиця полікарбонат 3x6м,GREENHOUSE-PC-3X6,Садова теплиця з полікарбонату з дверима та вікнами,18999,UAH,8,Outdoor & Garden,https://images.unsplash.com/photo-1464226184884-fa280b87c399
Гойдалка садова 3-місна,SWING-GARDEN-3SEAT,Садова гойдалка з навісом та м'якими подушками,12999,UAH,10,Outdoor & Garden,https://images.unsplash.com/photo-1568605117036-5fe5e7bab0b7
Шезлонг складний,SUNBED-FOLD-GRAY,Складний шезлонг з регульованою спинкою,2499,UAH,30,Outdoor & Garden,https://images.unsplash.com/photo-1581579438747-1dc8d17bbce4
Мангал-барбекю вугільний,BBQ-CHARCOAL-DELUXE,Вугільний гриль-барбекю з кришкою та полицями,6999,UAH,15,Outdoor & Garden,https://images.unsplash.com/photo-1555939594-58d7cb561ad1
Садові меблі комплект,GARDEN-SET-TABLE-4CH,Набір меблів: стіл та 4 крісла з ротангу,14999,UAH,12,Outdoor & Garden,https://images.unsplash.com/photo-1600210491892-03d54c0aaf87
Парасолька садова 3м,PARASOL-3M-BEIGE,Великий садовий парасоль з нахилом та підставкою,4999,UAH,18,Outdoor & Garden,https://images.unsplash.com/photo-1600210491892-03d54c0aaf87
Компостер садовий 600л,COMPOSTER-600L-BLK,Пластиковий компостер для органічних відходів,3999,UAH,15,Outdoor & Garden,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae
Насос для поливу 1000W,PUMP-WATER-1000W,Поверхневий водяний насос для поливу саду,4499,UAH,20,Outdoor & Garden,https://images.unsplash.com/photo-1581578731548-c64695cc6952
Сокира-колун 2.5кг Fiskars,FISKARS-AXE-25KG,Професійна сокира-колун для рубання дров,2999,UAH,25,Outdoor & Garden,https://images.unsplash.com/photo-1416879595882-3373a0480b5b
