Product Name,SKU,Description,Price,Currency,Stock,Category,Image URL
Фен Dyson Supersonic,DYSON-DRYER-SUPER,Професійний фен з інтелектуальним контролем температури,16999,UAH,15,Beauty & Personal Care,https://images.unsplash.com/photo-1522338242992-e1a54906a8da
Праска для волосся GHD Platinum+,GHD-STRAIGHT-PLAT,Професійна праска з ultra-zone технологією,8999,UAH,20,Beauty & Personal Care,https://images.unsplash.com/photo-1582094593724-eea675f0f840
Електрична зубна щітка Oral-B iO9,ORALB-IO9-BLK,Електрощітка з AI розпізнаванням та 7 режимами,8499,UAH,25,Beauty & Personal Care,https://images.unsplash.com/photo-1607613009820-a29f7bb81c04
Машинка для стрижки Philips OneBlade Pro,PHILIPS-OBP-QP6520,Універсальний тример для обличчя та тіла,2999,UAH,40,Beauty & Personal Care,https://images.unsplash.com/photo-1621607512214-68297480165e
Електробритва Braun Series 9 Pro,BRAUN-S9PRO-9477CC,Професійна бритва з 5 синхронізованими елементами,12999,UAH,18,Beauty & Personal Care,https://images.unsplash.com/photo-1621607512214-68297480165e
Епілятор Philips Satinelle Prestige,PHILIPS-EPIL-BRE650,Епілятор з масажною насадкою та підсвіткою,3499,UAH,30,Beauty & Personal Care,https://images.unsplash.com/photo-1571781926291-c477ebfd024b
Фен-щітка Revlon One-Step,REVLON-HOTAIR-RVDR5212,Фен-щітка для швидкої укладки волосся,2499,UAH,35,Beauty & Personal Care,https://images.unsplash.com/photo-1522338242992-e1a54906a8da
Щипці для завивки Babyliss Pro Perfect Curl,BABYLISS-CURL-BAB2665E,Автоматичні щипці для створення ідеальних локонів,3999,UAH,22,Beauty & Personal Care,https://images.unsplash.com/photo-1582094593724-eea675f0f840
Масажер для обличчя FOREO Luna 3,FOREO-LUNA3-NORM,Електронний очищувач для обличчя з антивіковим масажем,6999,UAH,20,Beauty & Personal Care,https://images.unsplash.com/photo-1556228578-0d85b1a4d571
Манікюрний набір професійний,MANICURE-SET-PRO15,Набір для манікюру з 15 інструментами в чохлі,1299,UAH,45,Beauty & Personal Care,https://images.unsplash.com/photo-1610992015762-45dca7af0081
Дзеркало з LED підсвіткою,MIRROR-LED-MAKEUP,Косметичне дзеркало з підсвіткою та 10x збільшенням,1899,UAH,35,Beauty & Personal Care,https://images.unsplash.com/photo-1616840420316-ff8398b08ea9
Парфуми Dior Sauvage EDT 100ml,DIOR-SAUVAGE-EDT100,Чоловічі парфуми з деревно-пряним ароматом,4999,UAH,28,Beauty & Personal Care,https://images.unsplash.com/photo-1541643600914-78b084683601
Парфуми Chanel Coco Mademoiselle EDP 100ml,CHANEL-COCO-EDP100,Жіночі парфуми зі свіжим східним ароматом,5999,UAH,25,Beauty & Personal Care,https://images.unsplash.com/photo-1588405748880-12d1d2a59d75
Крем для обличчя La Roche-Posay Effaclar Duo+,LAROCHE-EFFACLAR-40ML,Коригувальний крем проти недосконалостей,549,UAH,60,Beauty & Personal Care,https://images.unsplash.com/photo-1556228578-0d85b1a4d571
Сонцезахисний крем SPF50+ La Roche-Posay,LAROCHE-SUN-SPF50,Сонцезахисний флюїд для чутливої шкіри,649,UAH,55,Beauty & Personal Care,https://images.unsplash.com/photo-1556228578-0d85b1a4d571
