Product Name,SKU,Description,Price,Currency,Stock,Category,Image URL
Атомні звички - Джеймс Клір,BOOK-ATOM-HABITS-UA,Практичний посібник зі створення корисних звичок та позбавлення від шкідливих,449,UAH,50,Books,https://images.unsplash.com/photo-1544947950-fa07a98d237f
Sapiens - Юваль Ной Харарі,BOOK-SAPIENS-UA,Коротка історія людства від кам'яного віку до сучасності,549,UAH,45,Books,https://images.unsplash.com/photo-1512820790803-83ca734da794
Тонке мистецтво байдужості,BOOK-ART-NOT-GIVING-UA,Марк Менсон про те як жити повноцінним життям,399,UAH,60,Books,https://images.unsplash.com/photo-1543002588-bfa74002ed7e
Чиста архітектура - Роберт Мартін,BOOK-CLEAN-ARCH-UA,Мистецтво розробки програмного забезпечення для професіоналів,699,UAH,35,Books,https://images.unsplash.com/photo-1532012197267-da84d127e765
Глибока робота - Кел Ньюпорт,BOOK-DEEP-WORK-UA,Правила сфокусованого успіху в епоху розсіювання уваги,429,UAH,40,Books,https://images.unsplash.com/photo-1589998059171-988d887df646
Перетворення - Кафка,BOOK-KAFKA-META-UA,Класика світової літератури в українському перекладі,299,UAH,55,Books,https://images.unsplash.com/photo-1524995997946-a1c2e315a42f
Гаррі Поттер і філософський камінь,BOOK-HP1-UA,Перша книга культової серії про юного чарівника,399,UAH,70,Books,https://images.unsplash.com/photo-1618365908648-e71bd5716cba
1984 - Джордж Орвелл,BOOK-1984-UA,Антиутопія про тоталітарне суспільство майбутнього,349,UAH,50,Books,https://images.unsplash.com/photo-1544716278-ca5e3f4abd8c
Кобзар - Тарас Шевченко,BOOK-KOBZAR-UA,Збірка поезій класика української літератури,449,UAH,80,Books,https://images.unsplash.com/photo-1516979187457-637abb4f9353
Енеїда - Іван Котляревський,BOOK-ENEYIDA-UA,Бурлескно-травестійна поема на основі Вергілієвої Енеїди,349,UAH,40,Books,https://images.unsplash.com/photo-1481627834876-b7833e8f5570
Думай повільно вирішуй швидко,BOOK-THINK-SLOW-UA,Даніель Канеман про систему мислення та прийняття рішень,599,UAH,30,Books,https://images.unsplash.com/photo-1512820790803-83ca734da794
Керівництво виживання стоїка,BOOK-STOIC-GUIDE-UA,Практична філософія для сучасного життя,429,UAH,35,Books,https://images.unsplash.com/photo-1544947950-fa07a98d237f
Початок часу - Стівен Гокінг,BOOK-TIME-BRIEF-UA,Коротка історія часу від Великого вибуху до чорних дір,499,UAH,25,Books,https://images.unsplash.com/photo-1589998059171-988d887df646
Код - Чарльз Петцольд,BOOK-CODE-PETZOLD-UA,Таємна мова комп'ютерного обладнання та програмного забезпечення,649,UAH,20,Books,https://images.unsplash.com/photo-1532012197267-da84d127e765
Мистецтво війни - Сунь Цзи,BOOK-ART-WAR-UA,Давньокитайський трактат про військову стратегію,299,UAH,45,Books,https://images.unsplash.com/photo-1524995997946-a1c2e315a42f
