Product Name,SKU,Description,Price,Currency,Stock,Category,Image URL,Attributes
iPhone 15 Pro Max,APPLE-IP15PM-256-BLK,Флагманський смартфон Apple з титановим корпусом та чіпом A17 Pro. 6.7-дюймовий дисплей Super Retina XDR з ProMotion,54999,UAH,25,Smartphones,https://images.unsplash.com/photo-1632661674596-df8be070a5c5,"{""brand"":""Apple"",""color"":[""Black"",""Silver"",""Gold"",""Blue""],""warranty"":24,""condition"":""New"",""screen-size"":6.7,""ram"":""8GB"",""storage"":""256GB"",""battery"":4441,""camera"":""48MP"",""5g-support"":true,""os"":""iOS 17""}"
iPhone 15 Pro,APPLE-IP15P-256-WHT,Потужний смартфон з A17 Pro та титановим дизайном. 6.1-дюймовий дисплей,49999,UAH,30,Smartphones,https://images.unsplash.com/photo-1632661674596-df8be070a5c5,"{""brand"":""Apple"",""color"":[""White"",""Black"",""Blue"",""Silver""],""warranty"":24,""condition"":""New"",""screen-size"":6.1,""ram"":""8GB"",""storage"":""256GB"",""battery"":3274,""camera"":""48MP"",""5g-support"":true,""os"":""iOS 17""}"
iPhone 15,APPLE-IP15-128-BLU,Сучасний смартфон з Dynamic Island та покращеною камерою 48MP,39999,UAH,40,Smartphones,https://images.unsplash.com/photo-1592286927505-b7e6edd1d4eb,"{""brand"":""Apple"",""color"":[""Blue"",""Pink"",""Yellow"",""Green"",""Black""],""warranty"":24,""condition"":""New"",""screen-size"":6.1,""ram"":""6GB"",""storage"":""128GB"",""battery"":3349,""camera"":""48MP"",""5g-support"":true,""os"":""iOS 17""}"
iPhone 15 Plus,APPLE-IP15P-256-PINK,Більший екран та довший час роботи батареї,44999,UAH,35,Smartphones,https://images.unsplash.com/photo-1592286927505-b7e6edd1d4eb,"{""brand"":""Apple"",""color"":[""Pink"",""Blue"",""Yellow"",""Green"",""Black""],""warranty"":24,""condition"":""New"",""screen-size"":6.7,""ram"":""6GB"",""storage"":""256GB"",""battery"":4383,""camera"":""48MP"",""5g-support"":true,""os"":""iOS 17""}"
iPhone 14,APPLE-IP14-128-PURPLE,Надійний смартфон з A15 Bionic та подвійною камерою,34999,UAH,50,Smartphones,https://images.unsplash.com/photo-1592286927505-b7e6edd1d4eb,"{""brand"":""Apple"",""color"":[""Purple"",""Blue"",""Red"",""White"",""Black""],""warranty"":24,""condition"":""New"",""screen-size"":6.1,""ram"":""6GB"",""storage"":""128GB"",""battery"":3279,""camera"":""12MP"",""5g-support"":true,""os"":""iOS 16""}"
MacBook Pro 16" M3 Max,APPLE-MBP16-M3MAX-1TB,Професійний ноутбук з чіпом M3 Max. 36GB RAM та 1TB SSD,125999,UAH,8,Laptops,https://images.unsplash.com/photo-1517336714731-489689fd1ca8,"{""brand"":""Apple"",""color"":[""Silver"",""Black""],""warranty"":12,""condition"":""New"",""screen-size"":16.2,""ram"":""36GB"",""storage"":""1TB"",""processor"":""Apple M3 Max"",""gpu"":""Apple M3 Max 40-core"",""display-type"":""Retina"",""os"":""macOS"",""weight"":2.14}"
MacBook Pro 14" M3 Pro,APPLE-MBP14-M3PRO-512,Потужний ноутбук для професіоналів з M3 Pro,89999,UAH,12,Laptops,https://images.unsplash.com/photo-1517336714731-489689fd1ca8,"{""brand"":""Apple"",""color"":[""Silver"",""Black""],""warranty"":12,""condition"":""New"",""screen-size"":14.2,""ram"":""18GB"",""storage"":""512GB"",""processor"":""Apple M3 Pro"",""gpu"":""Apple M3 Pro 18-core"",""display-type"":""Retina"",""os"":""macOS"",""weight"":1.61}"
MacBook Air 15" M3,APPLE-MBA15-M3-512,Тонкий та легкий ноутбук з чіпом M3. 15.3-дюймовий Liquid Retina дисплей,62999,UAH,15,Laptops,https://images.unsplash.com/photo-1611186871348-b1ce696e52c9,"{""brand"":""Apple"",""color"":[""Silver"",""Gray"",""Gold"",""Blue""],""warranty"":12,""condition"":""New"",""screen-size"":15.3,""ram"":""8GB"",""storage"":""512GB"",""processor"":""Apple M3"",""gpu"":""Apple M3 10-core"",""display-type"":""Retina"",""os"":""macOS"",""weight"":1.51}"
MacBook Air 13" M3,APPLE-MBA13-M3-256,Компактний ноутбук з M3 для повсякденних завдань,52999,UAH,20,Laptops,https://images.unsplash.com/photo-1541807084-5c52b6b3adef,"{""brand"":""Apple"",""color"":[""Silver"",""Gray"",""Gold"",""Blue""],""warranty"":12,""condition"":""New"",""screen-size"":13.6,""ram"":""8GB"",""storage"":""256GB"",""processor"":""Apple M3"",""gpu"":""Apple M3 8-core"",""display-type"":""Retina"",""os"":""macOS"",""weight"":1.24}"
MacBook Air 13" M2,APPLE-MBA13-M2-256,Компактний ноутбук для повсякденних завдань. 13.6-дюймовий дисплей,48999,UAH,20,Laptops,https://images.unsplash.com/photo-1541807084-5c52b6b3adef,"{""brand"":""Apple"",""color"":[""Silver"",""Gray"",""Gold"",""Blue""],""warranty"":12,""condition"":""New"",""screen-size"":13.6,""ram"":""8GB"",""storage"":""256GB"",""processor"":""Apple M2"",""gpu"":""Apple M2 8-core"",""display-type"":""Retina"",""os"":""macOS"",""weight"":1.24}"
iPad Pro 12.9" M2,APPLE-IPADPRO-12-256,Професійний планшет з M2 чіпом. Підтримка Apple Pencil,49999,UAH,18,Tablets,https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0,"{""brand"":""Apple"",""color"":[""Silver"",""Gray""],""warranty"":12,""condition"":""New"",""screen-size"":12.9,""ram"":""8GB"",""storage"":""256GB"",""processor"":""Apple M2"",""display-type"":""Retina"",""os"":""iPadOS"",""weight"":0.68}"
iPad Pro 11" M2,APPLE-IPADPRO-11-256,Компактний професійний планшет з M2,42999,UAH,22,Tablets,https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0,"{""brand"":""Apple"",""color"":[""Silver"",""Gray""],""warranty"":12,""condition"":""New"",""screen-size"":11.0,""ram"":""8GB"",""storage"":""256GB"",""processor"":""Apple M2"",""display-type"":""Retina"",""os"":""iPadOS"",""weight"":0.47}"
iPad Air M2,APPLE-IPADAIR-M2-256,Універсальний планшет з чіпом M2 та 10.9-дюймовим дисплеєм,28999,UAH,25,Tablets,https://images.unsplash.com/photo-1561154464-82e9adf32764,"{""brand"":""Apple"",""color"":[""Blue"",""Purple"",""Pink"",""Silver"",""Gray""],""warranty"":12,""condition"":""New"",""screen-size"":10.9,""ram"":""8GB"",""storage"":""256GB"",""processor"":""Apple M2"",""display-type"":""Retina"",""os"":""iPadOS"",""weight"":0.46}"
iPad 10th Gen,APPLE-IPAD10-64-BLU,Доступний планшет з A14 Bionic та USB-C,18999,UAH,35,Tablets,https://images.unsplash.com/photo-1561154464-82e9adf32764,"{""brand"":""Apple"",""color"":[""Blue"",""Pink"",""Yellow"",""Silver""],""warranty"":12,""condition"":""New"",""screen-size"":10.9,""ram"":""4GB"",""storage"":""64GB"",""processor"":""Apple A14"",""display-type"":""Retina"",""os"":""iPadOS"",""weight"":0.48}"
iPad mini 6,APPLE-IPADMINI6-64,Компактний планшет з A15 Bionic,22999,UAH,28,Tablets,https://images.unsplash.com/photo-1561154464-82e9adf32764,"{""brand"":""Apple"",""color"":[""Purple"",""Pink"",""Gray"",""Silver""],""warranty"":12,""condition"":""New"",""screen-size"":8.3,""ram"":""4GB"",""storage"":""64GB"",""processor"":""Apple A15"",""display-type"":""Retina"",""os"":""iPadOS"",""weight"":0.29}"
Apple Watch Ultra 2,APPLE-AWSU2-TITAN,Найміцніший Apple Watch для екстремальних умов,38999,UAH,10,Wearables,https://images.unsplash.com/photo-1579586337278-3befd40fd17a,"{""brand"":""Apple"",""color"":[""Titanium""],""warranty"":12,""condition"":""New"",""screen-size"":1.92,""battery"":36,""connection"":""Bluetooth"",""os"":""watchOS 10""}"
Apple Watch Series 9,APPLE-AWS9-45-GPS,Розумний годинник з Always-On дисплеєм та функцією подвійного тапу,17999,UAH,35,Wearables,https://images.unsplash.com/photo-1434493789847-2f02dc6ca35d,"{""brand"":""Apple"",""color"":[""Silver"",""Gold"",""Black"",""Pink"",""Red""],""warranty"":12,""condition"":""New"",""screen-size"":1.9,""battery"":18,""connection"":""Bluetooth"",""os"":""watchOS 10""}"
Apple Watch SE 2nd Gen,APPLE-AWSE2-44,Доступний розумний годинник з основними функціями,11999,UAH,40,Wearables,https://images.unsplash.com/photo-1434493789847-2f02dc6ca35d,"{""brand"":""Apple"",""color"":[""Silver"",""Gold"",""Black""],""warranty"":12,""condition"":""New"",""screen-size"":1.78,""battery"":18,""connection"":""Bluetooth"",""os"":""watchOS 10""}"
AirPods Pro 2nd Gen,APPLE-APP2-USB-C,Бездротові навушники з активним шумоподавленням та Adaptive Audio,10499,UAH,60,Accessories,https://images.unsplash.com/photo-1606841837239-c5a1a4a07af7,"{""brand"":""Apple"",""color"":[""White""],""warranty"":12,""condition"":""New"",""connection"":""Bluetooth"",""noise-cancellation"":true,""microphone"":true,""battery"":6}"
AirPods Max,APPLE-APMAX-SILVER,Накладні навушники преміум-класу з просторовим звуком,24999,UAH,12,Accessories,https://images.unsplash.com/photo-1625895197185-efcec01cffe0,"{""brand"":""Apple"",""color"":[""Silver"",""Gray"",""Green"",""Pink"",""Blue""],""warranty"":12,""condition"":""New"",""connection"":""Bluetooth"",""noise-cancellation"":true,""microphone"":true,""battery"":20}"
AirPods 3rd Gen,APPLE-AP3-WHT,Бездротові навушники з просторовим звуком,7999,UAH,50,Accessories,https://images.unsplash.com/photo-1606841837239-c5a1a4a07af7,"{""brand"":""Apple"",""color"":[""White""],""warranty"":12,""condition"":""New"",""connection"":""Bluetooth"",""noise-cancellation"":false,""microphone"":true,""battery"":6}"
Magic Keyboard with Touch ID,APPLE-MK-TOUCHID-UA,Бездротова клавіатура з Touch ID та українською розкладкою,5999,UAH,30,Accessories,https://images.unsplash.com/photo-1587829741301-dc798b83add3,"{""brand"":""Apple"",""color"":[""White"",""Black""],""warranty"":12,""condition"":""New"",""connection"":""Bluetooth""}"
Magic Mouse,APPLE-MMOUSE-WHT,Бездротова мишка з Multi-Touch поверхнею,3499,UAH,45,Accessories,https://images.unsplash.com/photo-1615750185825-9494c23d3e7a,"{""brand"":""Apple"",""color"":[""White"",""Black""],""warranty"":12,""condition"":""New"",""connection"":""Bluetooth""}"
Magic Trackpad,APPLE-MTPAD-WHT,Бездротовий трекпад з Force Touch,5499,UAH,25,Accessories,https://images.unsplash.com/photo-1587829741301-dc798b83add3,"{""brand"":""Apple"",""color"":[""White"",""Black""],""warranty"":12,""condition"":""New"",""connection"":""Bluetooth""}"
AirTag 4-pack,APPLE-ATAG-4PK,Трекери для пошуку речей через мережу Find My,4999,UAH,50,Accessories,https://images.unsplash.com/photo-1621768216002-5ac171876625,"{""brand"":""Apple"",""color"":[""Silver""],""warranty"":12,""condition"":""New"",""connection"":""Bluetooth""}"
Apple Pencil 2nd Gen,APPLE-PENCIL2,Стилус для iPad Pro та iPad Air з магнітним кріпленням,5499,UAH,40,Accessories,https://images.unsplash.com/photo-1587829741301-dc798b83add3,"{""brand"":""Apple"",""color"":[""White""],""warranty"":12,""condition"":""New"",""connection"":""Bluetooth""}"
Apple Pencil USB-C,APPLE-PENCIL-USBC,Стилус з USB-C для iPad 10-го покоління,3999,UAH,35,Accessories,https://images.unsplash.com/photo-1587829741301-dc798b83add3,"{""brand"":""Apple"",""color"":[""White""],""warranty"":12,""condition"":""New"",""connection"":""USB-C""}"
HomePod mini,APPLE-HPM-BLUE,Розумна колонка з Siri та якісним звуком,4299,UAH,40,Smart Home,https://images.unsplash.com/photo-1589492477829-5e65395b66cc,"{""brand"":""Apple"",""color"":[""Blue"",""Orange"",""Yellow"",""White"",""Gray""],""warranty"":12,""condition"":""New"",""connection"":""WiFi""}"
HomePod 2nd Gen,APPLE-HP2-WHT,Потужна розумна колонка з просторовим звуком,12999,UAH,15,Smart Home,https://images.unsplash.com/photo-1589492477829-5e65395b66cc,"{""brand"":""Apple"",""color"":[""White"",""Black""],""warranty"":12,""condition"":""New"",""connection"":""WiFi""}"
Apple TV 4K 128GB,APPLE-ATV4K-128,Медіаплеєр з підтримкою 4K HDR та Dolby Atmos,7999,UAH,20,Smart Home,https://images.unsplash.com/photo-1589492477829-5e65395b66cc,"{""brand"":""Apple"",""color"":[""Black""],""warranty"":12,""condition"":""New"",""storage"":""128GB"",""connection"":""WiFi""}"
