Product Name,SKU,Description,Price,Currency,Stock,Category,Image URL
WH-1000XM5,SONY-WH1000XM5-BLK,Флагманські навушники з найкращим ANC. 30 годин автономності,14999,UAH,35,Accessories,https://images.unsplash.com/photo-1546435770-a3e426bf472b
WH-1000XM4,SONY-WH1000XM4-SLV,Преміум навушники з адаптивним шумоподавленням,11999,UAH,42,Accessories,https://images.unsplash.com/photo-1577174881658-0f30cfde3350
WF-1000XM5,SONY-WF1000XM5-BLK,Бездротові TWS навушники з найкращим звуком,11499,UAH,40,Accessories,https://images.unsplash.com/photo-1590658268037-6bf12165a8df
LinkBuds S,SONY-LINKBS-WHT,Компактні навушники з автоматичним перемиканням ANC,6999,UAH,50,Accessories,https://images.unsplash.com/photo-1606841837239-c5a1a4a07af7
PlayStation 5,SONY-PS5-DISC-CFI2,Ігрова консоль нового покоління з SSD та 4K підтримкою,21999,UAH,15,Gaming,https://images.unsplash.com/photo-1606813907291-d86efa9b94db
PlayStation 5 Digital,SONY-PS5-DIGI-CFI2,Цифрова версія PS5 без дискового приводу,18999,UAH,18,Gaming,https://images.unsplash.com/photo-1622297845775-5ff3fef71d13
DualSense Edge,SONY-DSE-WHT,Професійний контролер для PS5 з налаштуванням,8999,UAH,25,Gaming,https://images.unsplash.com/photo-1592840062661-773f090a747e
PlayStation Portal,SONY-PSP-WHT,Портативний пристрій для Remote Play з PS5,9999,UAH,20,Gaming,https://images.unsplash.com/photo-1625805866449-3589fe3f71a3
Alpha 7 IV Body,SONY-A7M4-BODY,Професійна камера 33MP з гібридним AF,89999,UAH,8,Cameras,https://images.unsplash.com/photo-1502920917128-1aa500764cbd
Alpha 7C II,SONY-A7C2-BLK,Компактна повнокадрова камера 33MP,84999,UAH,10,Cameras,https://images.unsplash.com/photo-1606462146674-23ef988d1722
ZV-E1,SONY-ZVE1-BLK,Камера для влогерів з AI та 12MP Full-Frame сенсором,92999,UAH,6,Cameras,https://images.unsplash.com/photo-1606810762604-0846c6f08f2c
SRS-XB43,SONY-SRSXB43-BLU,Потужна портативна колонка з Extra Bass. IP67 захист,5499,UAH,30,Audio,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1
HT-A7000,SONY-HTA7000-BLK,Soundbar 7.1.2 з Dolby Atmos та 360 Spatial Sound,34999,UAH,12,Audio,https://images.unsplash.com/photo-1545454675-3531b543be5d
BRAVIA XR A95K 65",SONY-XRA95K-65-OLED,QD-OLED телевізор 4K з Cognitive Processor XR,149999,UAH,4,TVs,https://images.unsplash.com/photo-1593359677879-a4bb92f829d1
INZONE H9,SONY-INZONEH9-WHT,Ігрові навушники з 360 Spatial Sound для геймерів,12999,UAH,22,Gaming,https://images.unsplash.com/photo-1599669454699-248893623440
