Product Name,SKU,Description,Price,Currency,Stock,Category,Image URL
Blade 16,RAZR-BLADE16-I9-4090,Найпотужніший ігровий ноутбук 16" з RTX 4090,139999,UAH,5,Laptops,https://images.unsplash.com/photo-1603302576837-37561b2e2302
Blade 14,RAZR-BLADE14-R9-4070,Компактний ігровий ноутбук з AMD та RTX 4070,94999,UAH,8,Laptops,https://images.unsplash.com/photo-1525547719571-a2d4ac8945e2
DeathAdder V3 Pro,RAZR-DAV3P-BLK,Бездротова ігрова мишка з Focus Pro сенсором,6499,UAH,35,Gaming,https://images.unsplash.com/photo-1588864721034-4afdb05a5799
Viper V3 Pro,RAZR-VV3P-WHT,Ультралегка мишка 54г для професійних геймерів,7999,UAH,28,Gaming,https://images.unsplash.com/photo-1527814050087-3793815479db
BlackWidow V4 Pro,RAZR-BWV4P-GRN,Флагманська механічна клавіатура з Command Dial,11999,UAH,20,Gaming,https://images.unsplash.com/photo-1595225476474-87563907a212
Huntsman V3 Pro,RAZR-HV3P-TKL,Аналогова оптична клавіатура TKL,9999,UAH,18,Gaming,https://images.unsplash.com/photo-1587829741301-dc798b83add3
BlackShark V2 Pro,RAZR-BSV2P-BLK,Бездротові ігрові навушники з THX звуком,8499,UAH,30,Gaming,https://images.unsplash.com/photo-1599669454699-248893623440
Kraken V3 HyperSense,RAZR-KV3HS-BLK,Навушники з тактильним відгуком HyperSense,6999,UAH,25,Gaming,https://images.unsplash.com/photo-1546435770-a3e426bf472b
Kiyo Pro Ultra,RAZR-KPULTRA-4K,4K HDR веб-камера з AI автофокусом,12999,UAH,15,Accessories,https://images.unsplash.com/photo-1587825140708-dfaf72ae4b04
Seiren V3 Chroma,RAZR-SV3C-BLK,USB мікрофон з RGB підсвіткою Chroma,6499,UAH,22,Audio,https://images.unsplash.com/photo-1583394838336-acd977736f90
Raptor 27,RAZR-RAPT27-360HZ,27" FHD ігровий монітор 360Hz з G-Sync,27999,UAH,10,Monitors,https://images.unsplash.com/photo-1593640495253-23196b27a87f
Iskur V2,RAZR-ISKURV2-BLK,Ергономічне ігрове крісло з підтримкою поперека,19999,UAH,8,Gaming,https://images.unsplash.com/photo-1592078615290-033ee584e267
Firefly V2 Pro,RAZR-FFV2P-RGB,Бездротова RGB підкладка з підсвіткою Chroma,5499,UAH,25,Gaming,https://images.unsplash.com/photo-1616092808643-f2b3060e5bee
Basilisk V3 Pro,RAZR-BV3P-WHT,Універсальна ігрова мишка з 11 кнопками,7999,UAH,30,Gaming,https://images.unsplash.com/photo-1615750185825-9494c23d3e7a
USB-C GaN Charger 130W,RAZR-GAN130-BLK,Компактний зарядний пристрій з 4 портами,3999,UAH,40,Accessories,https://images.unsplash.com/photo-1583863788434-e58a36330cf0
