Product Name,SKU,Description,Price,Currency,Stock,Category,Image URL
Офісне крісло Herman Miller Aeron,HM-AERON-CHAIR-BLK,Ергономічне офісне крісло з підтримкою поперека,52999,UAH,6,Furniture,https://images.unsplash.com/photo-1580480055273-228ff5388ef8
Стіл письмовий IKEA BEKANT,IKEA-DESK-BEKANT-160,Регульований по висоті офісний стіл 160x80см,14999,UAH,12,Furniture,https://images.unsplash.com/photo-1595526114035-0d45ed16cfbf
Диван розкладний MOON,MOON-SOFA-3SEAT-GRY,Тримісний диван-ліжко з функцією сну,18999,UAH,8,Furniture,https://images.unsplash.com/photo-1555041469-a586c61ea9bc
Ліжко двоспальне 160x200,BED-DOUBLE-160-OAK,Двоспальне ліжко з масиву дуба з підйомним механізмом,24999,UAH,10,Furniture,https://images.unsplash.com/photo-1505693416388-ac5ce068fe85
Матрас ортопедичний 160x200,MATTRESS-ORTHO-160,Ортопедичний матрас з незалежними пружинами,12999,UAH,15,Furniture,https://images.unsplash.com/photo-1631049307264-da0ec9d70304
Шафа-купе 3-дверна,WARDROBE-SLIDE-3D-WHT,Шафа-купе з дзеркалом та внутрішньою начинкою,28999,UAH,5,Furniture,https://images.unsplash.com/photo-1595428774223-ef52624120d2
Комод 5 ящиків білий,DRESSER-5D-WHT-MOD,Сучасний комод з 5 висувними ящиками,7999,UAH,18,Furniture,https://images.unsplash.com/photo-1595428774223-ef52624120d2
Книжкова шафа BILLY IKEA,IKEA-BILLY-SHELF-WHT,Класична книжкова шафа 80x202см,3999,UAH,25,Furniture,https://images.unsplash.com/photo-1594620302200-9a762244a156
Стілець обідній набір 4шт,CHAIR-DINING-4PCS-BLK,Набір з 4 м'яких обідніх стільців,8999,UAH,12,Furniture,https://images.unsplash.com/photo-1503602642458-232111445657
Стіл обідній розкладний,TABLE-DINING-EXT-OAK,Розкладний обідній стіл на 6-10 персон,16999,UAH,8,Furniture,https://images.unsplash.com/photo-1617806118233-18e1de247200
Тумба під телевізор 180см,TV-STAND-180-WALNUT,ТВ тумба з закритими шафками та відкритими полицями,9999,UAH,15,Furniture,https://images.unsplash.com/photo-1594026112284-02bb6f3352fe
Журнальний столик скляний,COFFEE-TABLE-GLASS-RD,Круглий журнальний столик зі скла та металу,4999,UAH,20,Furniture,https://images.unsplash.com/photo-1555041469-a586c61ea9bc
Вішалка підлогова металева,COAT-RACK-FLOOR-BLK,Підлогова вішалка для одягу в стилі лофт,1299,UAH,30,Furniture,https://images.unsplash.com/photo-1595515106969-1ce29566ff1c
Дитяче ліжко з бортиками,KIDS-BED-SINGLE-WHT,Одномісне дитяче ліжко 90x190 з захисними бортами,8999,UAH,12,Furniture,https://images.unsplash.com/photo-1505693416388-ac5ce068fe85
Пуф для зберігання речей,STORAGE-OTTOMAN-GRY,М'який пуф з відкидною кришкою та місцем для зберігання,2499,UAH,25,Furniture,https://images.unsplash.com/photo-1555041469-a586c61ea9bc
