Product Name,SKU,Description,Price,Currency,Stock,Category,Image URL
XPS 15 9530,DELL-XPS15-I9-4070,Преміум ноутбук з Intel i9-13900H та RTX 4070. OLED 3.5K,89999,UAH,10,Laptops,https://images.unsplash.com/photo-1593642632823-8f785ba67e45
XPS 13 Plus,DELL-XPS13P-I7-32GB,Ультрапортативний ноутбук з безрамковою клавіатурою,72999,UAH,15,Laptops,https://images.unsplash.com/photo-1496181133206-80ce9b88a853
Alienware m18,DELL-AWM18-I9-4090,Ігровий монстр 18" з RTX 4090 та 64GB RAM,149999,UAH,5,Laptops,https://images.unsplash.com/photo-1603302576837-37561b2e2302
Alienware x14 R2,DELL-AWX14-I7-4050,Найтонший ігровий ноутбук 14" з RTX 4050,68999,UAH,8,Laptops,https://images.unsplash.com/photo-1525547719571-a2d4ac8945e2
G15 Gaming,DELL-G15-I7-3060,Доступний ігровий ноутбук з RTX 3060 та 165Hz,42999,UAH,20,Laptops,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed
UltraSharp U2723DE,DELL-U2723DE-27-QHD,27" QHD монітор з USB-C hub та 95W зарядкою,22999,UAH,12,Monitors,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf
UltraSharp U3223QE,DELL-U3223QE-32-4K,32" 4K IPS монітор для професіоналів. 99% sRGB,38999,UAH,10,Monitors,https://images.unsplash.com/photo-1585792180666-f7347c490ee2
Alienware AW3423DWF,DELL-AW3423DWF-34-QD,34" QD-OLED ігровий монітор 165Hz з G-Sync,49999,UAH,6,Monitors,https://images.unsplash.com/photo-1593640495253-23196b27a87f
S2722DC,DELL-S2722DC-27-QHD,27" QHD монітор з USB-C та 65W зарядкою,14999,UAH,25,Monitors,https://images.unsplash.com/photo-1551645120-d70bfe84c826
Pro Wireless Keyboard,DELL-PROKB-BLK,Бездротова клавіатура для бізнесу з NumPad,2999,UAH,40,Accessories,https://images.unsplash.com/photo-1587829741301-dc798b83add3
Pro Wireless Mouse,DELL-PROMOUSE-BLK,Ергономічна бездротова мишка для офісу,1999,UAH,50,Accessories,https://images.unsplash.com/photo-1527814050087-3793815479db
Premier Backpack 15,DELL-PBP15-BLK,Професійний рюкзак для ноутбуків до 15.6",2499,UAH,35,Accessories,https://images.unsplash.com/photo-1553062407-98eeb64c6a62
WD19TBS Thunderbolt,DELL-WD19TBS-180W,Док-станція Thunderbolt 3 з зарядкою 180W,14999,UAH,18,Accessories,https://images.unsplash.com/photo-1625281586732-837ce12ecf6f
USB-C Mobile Adapter,DELL-USBCMA-HDMI,Багатопортовий адаптер USB-C з HDMI та Ethernet,2999,UAH,45,Accessories,https://images.unsplash.com/photo-1625805866449-3589fe3f71a3
Inspiron 24 AIO,DELL-I24AIO-I5-23,Моноблок 23.8" для дому та офісу. i5 та 16GB RAM,28999,UAH,12,Desktops,https://images.unsplash.com/photo-1587831990711-23ca6441447b
