Product Name,SKU,Description,Price,Currency,Stock,Category,Image URL,Attributes
Galaxy S24 Ultra,SAMS-S24U-512-TITAN,Преміум смартфон з S Pen та камерою 200MP. Titanium Gray,52999,UAH,20,Smartphones,https://images.unsplash.com/photo-1610945415295-d9bbf067e59c,"{""brand"":""Samsung"",""color"":[""Titanium Gray"",""Titanium Black"",""Titanium Violet"",""Titanium Yellow""],""warranty"":24,""condition"":""New"",""screen-size"":6.8,""ram"":""12GB"",""storage"":""512GB"",""battery"":5000,""camera"":""200MP"",""5g-support"":true,""os"":""Android 14"",""display-type"":""AMOLED""}"
Galaxy S24+,SAMS-S24P-256-VIOLET,Потужний смартфон з Dynamic AMOLED дисплеєм та Snapdragon 8 Gen 3,44999,UAH,30,Smartphones,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9,"{""brand"":""Samsung"",""color"":[""Violet"",""Black"",""Gray"",""Yellow""],""warranty"":24,""condition"":""New"",""screen-size"":6.7,""ram"":""12GB"",""storage"":""256GB"",""battery"":4900,""camera"":""50MP"",""5g-support"":true,""os"":""Android 14"",""display-type"":""AMOLED""}"
Galaxy S24,SAMS-S24-256-YELLOW,Компактний флагман з AI функціями,38999,UAH,35,Smartphones,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9,"{""brand"":""Samsung"",""color"":[""Yellow"",""Violet"",""Black"",""Gray""],""warranty"":24,""condition"":""New"",""screen-size"":6.2,""ram"":""8GB"",""storage"":""256GB"",""battery"":4000,""camera"":""50MP"",""5g-support"":true,""os"":""Android 14"",""display-type"":""AMOLED""}"
Galaxy Z Fold 5,SAMS-ZF5-512-PHANTOM,Складаний смартфон з 7.6-дюймовим гнучким екраном,79999,UAH,8,Smartphones,https://images.unsplash.com/photo-1592286927505-b7e6edd1d4eb,"{""brand"":""Samsung"",""color"":[""Phantom Black"",""Icy Blue"",""Cream""],""warranty"":24,""condition"":""New"",""screen-size"":7.6,""ram"":""12GB"",""storage"":""512GB"",""battery"":4400,""camera"":""50MP"",""5g-support"":true,""os"":""Android 13"",""display-type"":""AMOLED""}"
Galaxy Z Flip 5,SAMS-ZFLIP5-256-MINT,Компактний складаний смартфон. Ідеальний для селфі,42999,UAH,15,Smartphones,https://images.unsplash.com/photo-1598327105666-5b89351aff97,"{""brand"":""Samsung"",""color"":[""Mint"",""Graphite"",""Cream"",""Lavender""],""warranty"":24,""condition"":""New"",""screen-size"":6.7,""ram"":""8GB"",""storage"":""256GB"",""battery"":3700,""camera"":""12MP"",""5g-support"":true,""os"":""Android 13"",""display-type"":""AMOLED""}"
Galaxy A54 5G,SAMS-A54-128-BLACK,Середній клас з флагманськими функціями,16999,UAH,50,Smartphones,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9,"{""brand"":""Samsung"",""color"":[""Black"",""White"",""Violet"",""Lime""],""warranty"":24,""condition"":""New"",""screen-size"":6.4,""ram"":""8GB"",""storage"":""128GB"",""battery"":5000,""camera"":""50MP"",""5g-support"":true,""os"":""Android 13"",""display-type"":""AMOLED""}"
Galaxy Book3 Pro 360,SAMS-GB3P360-I7-1TB,Трансформер 2-в-1 з Intel Core i7. AMOLED touchscreen дисплей,68999,UAH,12,Laptops,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed,"{""brand"":""Samsung"",""color"":[""Graphite"",""Beige""],""warranty"":24,""condition"":""New"",""screen-size"":16.0,""ram"":""16GB"",""storage"":""1TB"",""processor"":""Intel Core i7"",""gpu"":""Intel Iris Xe"",""display-type"":""AMOLED"",""os"":""Windows 11"",""weight"":1.66}"
Galaxy Book3 Ultra,SAMS-GB3U-I9-RTX4070,Ноутбук для професіоналів з RTX 4070 та 32GB RAM,95999,UAH,6,Laptops,https://images.unsplash.com/photo-1496181133206-80ce9b88a853,"{""brand"":""Samsung"",""color"":[""Graphite""],""warranty"":24,""condition"":""New"",""screen-size"":16.0,""ram"":""32GB"",""storage"":""1TB"",""processor"":""Intel Core i9"",""gpu"":""NVIDIA RTX 4070"",""display-type"":""AMOLED"",""os"":""Windows 11"",""weight"":1.79}"
Galaxy Book3 Pro,SAMS-GB3P-I7-512,Тонкий та легкий ноутбук з AMOLED дисплеєм,52999,UAH,15,Laptops,https://images.unsplash.com/photo-1496181133206-80ce9b88a853,"{""brand"":""Samsung"",""color"":[""Graphite"",""Beige""],""warranty"":24,""condition"":""New"",""screen-size"":14.0,""ram"":""16GB"",""storage"":""512GB"",""processor"":""Intel Core i7"",""gpu"":""Intel Iris Xe"",""display-type"":""AMOLED"",""os"":""Windows 11"",""weight"":1.17}"
Galaxy Book3,SAMS-GB3-I5-256,Доступний ноутбук для повсякденних завдань,32999,UAH,20,Laptops,https://images.unsplash.com/photo-1496181133206-80ce9b88a853,"{""brand"":""Samsung"",""color"":[""Graphite"",""Silver""],""warranty"":24,""condition"":""New"",""screen-size"":15.6,""ram"":""8GB"",""storage"":""256GB"",""processor"":""Intel Core i5"",""gpu"":""Intel Iris Xe"",""display-type"":""IPS"",""os"":""Windows 11"",""weight"":1.58}"
