Product Name,SKU,Description,Price,Currency,Stock,Category,Image URL
Кавомашина Delonghi Magnifica S,DELONG-MAGNI-S-BLK,Автоматична кавомашина з капучинатором. 15 бар тиску,18999,UAH,15,Home Appliances,https://images.unsplash.com/photo-1517668808822-9ebb02f2a0e6
Мультиварка Philips HD4749,PHILIPS-MV-HD4749,Мультиварка 5л з 19 автопрограмами та 3D нагріванням,3499,UAH,30,Home Appliances,https://images.unsplash.com/photo-1585659722983-3a675dabf23d
Блендер Bosch MSM87165,BOSCH-BL-MSM87165,Погружний блендер 750W з 12 швидкостями,2799,UAH,25,Home Appliances,https://images.unsplash.com/photo-1570222094114-d054a817e56b
Пилосос Dyson V15 Detect,DYSON-V15-DETECT,Бездротовий пилосос з лазерним виявленням пилу,32999,UAH,12,Home Appliances,https://images.unsplash.com/photo-1558317374-067fb5f30001
Пральна машина Samsung WW90T,SAMS-WM-WW90T-9KG,Пральна машина 9кг з EcoBubble та AI Control,21999,UAH,8,Home Appliances,https://images.unsplash.com/photo-1626806787461-102c1bfaaea1
Холодильник LG GC-B247SBDC,LG-FRIDGE-GB247-SBS,Side-by-Side холодильник з InstaView та льодогенератором,54999,UAH,5,Home Appliances,https://images.unsplash.com/photo-1571175443880-49e1d25b2bc5
Мікрохвильова піч Bosch BFL524MS0,BOSCH-MW-BFL524,Вбудована мікрохвильова піч 900W з грилем,12999,UAH,18,Home Appliances,https://images.unsplash.com/photo-1585659722983-3a675dabf23d
Духова шафа Electrolux EOF6P46X,ELECT-OVEN-EOF6P46,Електрична духовка з піролізним очищенням,15999,UAH,10,Home Appliances,https://images.unsplash.com/photo-1585659722983-3a675dabf23d
Варильна поверхня Bosch PIE631FB1E,BOSCH-HOB-PIE631,Індукційна поверхня 60см з 4 конфорками,18999,UAH,12,Home Appliances,https://images.unsplash.com/photo-1556909212-d5b604d0c90d
Витяжка Faber Inca Smart HC X A60,FABER-HOOD-INCA60,Кухонна витяжка 60см з сенсорним управлінням,8999,UAH,20,Home Appliances,https://images.unsplash.com/photo-1556909212-d5b604d0c90d
Посудомийна машина Bosch SMS46KI03E,BOSCH-DW-SMS46K,Посудомийка на 13 комплектів з Silence Plus,19999,UAH,9,Home Appliances,https://images.unsplash.com/photo-1585659722983-3a675dabf23d
Чайник електричний Tefal KI240D30,TEFAL-KET-KI240D,Електрочайник 1.7л з фільтром від накипу,1299,UAH,40,Home Appliances,https://images.unsplash.com/photo-1594756202469-9ff9799b2e4e
Тостер Philips HD2637/90,PHILIPS-TOAST-HD2637,Тостер на 2 скибочки з 8 режимами підсмажування,1899,UAH,35,Home Appliances,https://images.unsplash.com/photo-1589647363585-f4a7d3877b10
Праска Philips GC4567/86,PHILIPS-IRON-GC4567,Парова праска 2600W з функцією антинакипу,2999,UAH,28,Home Appliances,https://images.unsplash.com/photo-1574269909862-7e1d70bb8078
Робот-пилосос Xiaomi Vacuum X10+,XIAOMI-RV-X10PLUS,Робот-пилосос з самоочищенням та лазерною навігацією,16999,UAH,14,Home Appliances,https://images.unsplash.com/photo-1558317374-067fb5f30001
