Product Name,SKU,Description,Price,Currency,Stock,Category,Image URL
Spectre x360 14,HP-SX360-I7-1355U,Трансформер 2-в-1 з OLED дисплеєм та Thunderbolt 4,62999,UAH,12,Laptops,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed
Elite Dragonfly G4,HP-EDF-G4-I7-32GB,Найлегший бізнес-ноутбук 13.5" з 5G підтримкою,78999,UAH,8,Laptops,https://images.unsplash.com/photo-1496181133206-80ce9b88a853
OMEN 16,HP-OMEN16-I7-4060,Ігровий ноутбук з RTX 4060 та 165Hz дисплеєм,52999,UAH,15,Laptops,https://images.unsplash.com/photo-1603302576837-37561b2e2302
Victus 15,HP-VICT15-I5-3050,Бюджетний ігровий ноутбук з RTX 3050,35999,UAH,22,Laptops,https://images.unsplash.com/photo-1525547719571-a2d4ac8945e2
Envy 13,HP-ENVY13-I7-512,Стильний ультрабук з алюмінієвим корпусом,44999,UAH,18,Laptops,https://images.unsplash.com/photo-1593642632823-8f785ba67e45
E27 G5 Monitor,HP-E27G5-27-FHD,27" Full HD монітор для бізнесу з підставкою,8999,UAH,30,Monitors,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf
OMEN 27q,HP-OMEN27Q-QHD-165,27" QHD ігровий монітор 165Hz з AMD FreeSync,16999,UAH,15,Monitors,https://images.unsplash.com/photo-1593640495253-23196b27a87f
E24 G5 Monitor,HP-E24G5-24-FHD,24" Full HD монітор з регульованою висотою,7499,UAH,35,Monitors,https://images.unsplash.com/photo-1551645120-d70bfe84c826
Elite USB-C Dock G5,HP-EDOCK-G5-USB-C,Універсальна док-станція з зарядкою 120W,11999,UAH,20,Accessories,https://images.unsplash.com/photo-1625281586732-837ce12ecf6f
925 Wireless Keyboard,HP-925KB-BLK,Безшумна бездротова клавіатура для офісу,2499,UAH,40,Accessories,https://images.unsplash.com/photo-1587829741301-dc798b83add3
965 Dual-Mode Mouse,HP-965M-SLV,Мишка з перемиканням між Bluetooth та USB,1799,UAH,45,Accessories,https://images.unsplash.com/photo-1527814050087-3793815479db
HyperX Cloud III,HP-HX-C3-BLK,Ігрові навушники з 53mm драйверами,4999,UAH,35,Gaming,https://images.unsplash.com/photo-1599669454699-248893623440
HyperX Pulsefire Haste,HP-HX-PFH-WHT,Ультралегка ігрова мишка 59г з HyperFlex кабелем,2999,UAH,38,Gaming,https://images.unsplash.com/photo-1588864721034-4afdb05a5799
HyperX Alloy Origins,HP-HX-AO-RGB,Механічна клавіатура з HyperX switches,5499,UAH,25,Gaming,https://images.unsplash.com/photo-1595225476474-87563907a212
OfficeJet Pro 9025e,HP-OJP9025E-AIO,Багатофункціональний принтер з Wi-Fi та HP+,7999,UAH,18,Printers,https://images.unsplash.com/photo-1612815154858-60aa4c59eaa6
