Product Name,SKU,Description,Price,Currency,Stock,Category,Image URL
MX Master 3S,LOGI-MXM3S-GRAPH,Професійна мишка з 8K DPI та бесшумними кліками,3999,UAH,45,Accessories,https://images.unsplash.com/photo-1527814050087-3793815479db
MX Keys S,LOGI-MXKS-GRAPH,Безшумна бездротова клавіатура з підсвіткою,4999,UAH,35,Accessories,https://images.unsplash.com/photo-1587829741301-dc798b83add3
MX Anywhere 3S,LOGI-MXA3S-BLK,Компактна мишка для подорожей. Працює на склі,3299,UAH,40,Accessories,https://images.unsplash.com/photo-1613141411244-0e4ac9474c05
G PRO X SUPERLIGHT 2,LOGI-GPXSL2-WHT,Професійна ігрова мишка 63г з HERO 2 сенсором,6999,UAH,30,Gaming,https://images.unsplash.com/photo-1588864721034-4afdb05a5799
G915 TKL,LOGI-G915TKL-BLK,Механічна ігрова клавіатура з RGB підсвіткою,7999,UAH,25,Gaming,https://images.unsplash.com/photo-1595225476474-87563907a212
G PRO X Wireless,LOGI-GPROXW-BLK,Професійні ігрові навушники з Blue VO!CE,7499,UAH,28,Gaming,https://images.unsplash.com/photo-1599669454699-248893623440
StreamCam,LOGI-SCAM-WHT,Веб-камера 1080p 60fps для стрімерів з AI,6999,UAH,32,Accessories,https://images.unsplash.com/photo-1587825140708-dfaf72ae4b04
Brio 4K,LOGI-BRIO4K-BLK,Професійна 4K веб-камера з HDR та автофокусом,8999,UAH,20,Accessories,https://images.unsplash.com/photo-1606797982044-bbb2531e2a67
Blue Yeti X,LOGI-YETIX-BLK,Професійний USB мікрофон з LED підсвіткою,7499,UAH,25,Audio,https://images.unsplash.com/photo-1583394838336-acd977736f90
Blue Sona,LOGI-SONA-BLK,XLR мікрофон для стрімерів з активним ANC,11999,UAH,15,Audio,https://images.unsplash.com/photo-1589003077984-894e133dabab
Combo Touch iPad Pro 12.9,LOGI-CT-IPADP12-BLK,Клавіатура-чохол з трекпадом для iPad Pro,8499,UAH,18,Accessories,https://images.unsplash.com/photo-1625281586732-837ce12ecf6f
MX Brio,LOGI-MXBRIO-GRAPH,4K веб-камера преміум класу з AI для відеодзвінків,14999,UAH,12,Accessories,https://images.unsplash.com/photo-1622543925917-763c34f6cc60
Zone Vibe 100,LOGI-ZV100-ROSE,Бездротові навушники для роботи з шумоподавленням,4499,UAH,38,Accessories,https://images.unsplash.com/photo-1546435770-a3e426bf472b
Lift Vertical Mouse,LOGI-LIFT-ROSE,Ергономічна вертикальна мишка для комфортної роботи,2999,UAH,42,Accessories,https://images.unsplash.com/photo-1615750185825-9494c23d3e7a
Signature M650,LOGI-SM650-GRAPH,Безшумна бездротова мишка з Smart Wheel,1499,UAH,60,Accessories,https://images.unsplash.com/photo-1527814050087-3793815479db
